year,total
2020,514914.25
2021,31702.75
2019,505247.5
2018,521756.25
2020,509465.5
2021,33620.5
2018,522733.25
2020,512398.75
2019,515944
2020,522222.75
2020,516340.75
2015,522894.25
2017,523144.5
2019,530847.75
2014,485970
2015,520551.75
2021,29975.75
2018,534404.25
2018,500173
2020,517054.75
2017,512675.5
2019,524861.5
2015,524997
2018,525783
2021,27244.25
2017,518728.75
2016,517557.5
2020,508135.75
2015,521849.25
2015,517101.25
2020,510887.75
2019,513361.25
2014,497352.75
2016,518477.5
2015,513738.25
2018,519164.75
2018,527635.5
2021,31635.5
2017,495008
2018,524296.5
2019,506177.25
2017,515813.25
2015,514947
2018,525746.5
2021,27749.5
2018,530894.5
2016,527119
2016,512193.25
2020,500234.5
2014,485563.5
2021,29842.25
2014,463831
2014,479941.75
2020,504933.75
2014,489389.5
2015,511998.75
2015,514499.5
2016,506748.5
2016,509498
2016,521512.25
2016,532022
2017,518361
2021,30368.75
2014,495241.25
2014,492776
2017,511853.25
2021,28168.25
2019,525408.75
2017,509661.75
2016,525959.5
2017,526879.75
2015,518300.75
2017,508814.25
2016,516951.5
2014,498153
2020,510447.25
2019,524933.75
2014,499972.5
2020,502255.25
2016,529381.75
2015,503999
2019,533544.5
2016,516444.75
2016,523277
2015,508652.25
2021,33321.75
2015,530555.75
2020,522146
2014,488488.25
2020,533885.5
2016,526071.75
2021,31439.5
2016,523741
2018,517890.75
2016,526849.25
2017,525119
2019,506542
2019,532467.25
2021,34702
2017,510087.75
2017,497058
2018,527636.25
2015,522337
2017,518773.5
2018,516142
2018,518261.75
2017,504363
2018,516564.5
2016,501894.75
2020,512677
2018,526726.75
2015,505398
2014,473322.5
2014,493298.25
2020,529053.5
2019,522005.25
2020,532800.25
2015,501507.5
2014,478634
2019,509055
2019,510215.75
2014,479461.25
2014,492368.75
2021,32866.75
2017,516348
2016,508271.75
2017,519299
2020,514914.75
2015,511277.25
2015,518156.75
2015,519079.25
2016,517676.75
2017,514419
2018,528046.25
2016,532563.75
2019,508803
2019,505115
2019,506601.5
2014,494198.25
2021,32894.25
2018,522155
2020,515622.25
2020,515363.75
2017,531984.5
2020,515654.25
2018,515703.5
2017,517182
2021,29583.25
2017,520875.75
2015,520031.75
2014,493540.75
2019,537179.25
2017,518210.25
2015,524535.75
2016,518099.75
2019,525586.5
2020,509071.5
2019,507123
2017,521545.75
2021,33742.25
2020,531289.25
2021,33036
2021,29399.5
2021,33310
2019,523078.25
2019,516373
2018,502095.25
2018,518156.25
2016,534483.75
2015,508983.25
2017,528177.25
2018,501217.5
2015,514528.5
2019,523992.5
2020,532801
2020,517369.25
2014,478759.5
2017,502071
2014,485853.25
2021,29873.75
2021,30993.75
2014,500521.75
2014,520210.5
2018,541778
2018,519006
2021,31455.25
2017,516941.75
2015,518765.5
2019,504473.5
2019,511564.75
2020,515451
2018,525234.75
2021,29641.5
2020,515963.75
2021,28050
2020,503769
2016,521062.75
2021,33755
2017,509191.75
2015,516650
2017,513991
2019,506721
2014,485041.25
2021,30812
2016,513054
2021,29915.25
2019,514840.5
2018,523389
2014,505096
2018,526893.5
2017,512505
2019,519812.5
2016,534398.75
2020,522951.25
2016,524110
2018,523121.25
2019,510021.5
2015,521101.75
2014,487405
2016,529442
2016,527674.25
2015,501897.25
2015,495117.5
2014,493828.25
2021,33469.75
2021,34221.75
2014,487823.5
2014,498808.75
2016,526510.5
2018,521580.25
2015,513196.75
2014,511653.75
2015,14936648.5
2014,14236504.75
2017,14939083.25
2019,14981897.25
2016,15123047.25
2018,15124186
